Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;42,63;5;5429000;Лесная;
Калининский;Обручевых ул.;5;;;Студия Н;42,7;17;5286000;Политехническая;
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;42,8;16;4978000;Лесная;
Калининский;Обручевых ул.;5;;;Студия Н;42,8;16;5290000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;42,8;17;5299000;Политехническая;
﻿Калининский;Обручевых ул.;5;;;Студия Н;42,9;18;5319000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43;2;5097000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43;2;5178000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43,3;10;5293000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43,4;10;5293000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43,4;10;5305000;Политехническая;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;43,5;16;4987000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;43,5;17;5211000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;43,53;3;4483000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;43,54;8;4724000;Площадь Мужества;
﻿Калининский;Маршала Блюхера пр.;4;3;;Студия Н;43,6;;4700000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706822925.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;43,6;;4900000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706823283.html
Калининский;Обручевых ул.;5;;;Студия Н;43,7;2;5274000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;43,8;2;5286000;Политехническая;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;44;;4618000;Площадь Мужества;https://www.emls.ru/fullinfo/4/330883.html
Калининский;Политехническая ул.;6;;Б;Студия Н;44,03;2;4336000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;9;1;;Студия Н;44,1;3;5138000;Лесная;
Калининский;Лабораторный пр.;23;;;Студия Н;44,22;;3979000;Лесная;https://www.emls.ru/fullinfo/4/706823274.html
Калининский;Лабораторный пр.;23;;;Студия Н;44,26;;3983000;Лесная;https://www.emls.ru/fullinfo/4/706823117.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;44,3;11;5578000;Площадь Мужества;
﻿Калининский;Маршала Блюхера пр.;4;3;;Студия Н;44,4;17;5167000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;44,5;17;5509000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;44,5;15;5570000;Политехническая;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,51;9;5385000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;44,7;18;5604000;Политехническая;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,72;11;4807000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,73;11;4741000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,74;11;4809000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,77;11;4768000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,8;11;4771000;Площадь Мужества;
﻿Калининский;Обручевых ул.;5;;;Студия Н;44,8;10;5576000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;44,8;4;5520000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;44,9;18;5567000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;44,9;18;6004000;Политехническая;
Калининский;Политехническая ул.;6;;Б;Студия Н;44,99;11;5623000;Площадь Мужества;
Калининский;Обручевых ул.;5;;;Студия Н;45;3;5258000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;45,1;10;5965000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;45,2;8;5508000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;45,2;2;5358000;Политехническая;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;45,7;17;5494000;Площадь Мужества;
﻿Калининский;Маршала Блюхера пр.;7;1;;Студия Н;45,83;14;5270000;Лесная;
Калининский;Обручевых ул.;5;;;Студия Н;46;15;6116000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;46,4;10;6124000;Политехническая;
Калининский;Обручевых ул.;5;;;Студия Н;46,6;2;5807000;Политехническая;
Калининский;Политехническая ул.;6;;Б;Студия Н;46,63;11;4966000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;46,7;4;5765000;Площадь Мужества;
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;46,9;;4798000;Площадь Мужества;https://www.emls.ru/fullinfo/4/706812872.html
Калининский;Маршала Блюхера пр.;4;3;;Студия Н;47,2;2;5810000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;47,55;9;5040000;Площадь Мужества;
Калининский;Политехническая ул.;6;;Б;Студия Н;49,13;10;6092000;Площадь Мужества;
