Район;Улица;Номер;Корпус;Литер;Кол-во комнат;Площадь;Этаж;Цена;Метро;Откуда взято
Василеостровский;Вилькицкий бул.;4;;;Студия;23;6;3299000;Приморская;https://www.emls.ru/fullinfo/1/1444899.html
Василеостровский;Александра Грина бул.;1;;;Студия;27,5;14;3300000;Приморская;https://www.emls.ru/fullinfo/1/706558272.html
﻿Василеостровский;Головнина бул.;10;;;Студия;20,71;12;3320000;Приморская;https://www.emls.ru/fullinfo/1/1470548.html
Василеостровский;Головнина бул.;10;;;Студия;23;10;3338000;Приморская;https://www.emls.ru/fullinfo/1/1449933.html
Василеостровский;Головнина бул.;10;;;Студия;21,27;2;3340000;Приморская;https://www.emls.ru/fullinfo/1/1470557.html
Василеостровский;Александра Грина бул.;1;;;Студия;28,4;11;3350000;Приморская;https://www.emls.ru/fullinfo/1/706569214.html
Василеостровский;Вилькицкий бул.;6;1;;Студия;22,9;13;3350000;Приморская;https://www.emls.ru/fullinfo/1/1399652.html
Василеостровский;Головнина бул.;10;;;Студия;21,27;3;3350000;Приморская;https://www.emls.ru/fullinfo/1/1470592.html
Василеостровский;Головнина бул.;10;;;Студия;22,61;10;3400000;Приморская;https://www.emls.ru/fullinfo/4/333297.html
Василеостровский;Головнина бул.;10;;;Студия;22,61;13;3400000;Приморская;https://www.emls.ru/fullinfo/4/333298.html
Василеостровский;Александра Грина бул.;1;;;Студия;28,5;11;3410000;Приморская;https://www.emls.ru/fullinfo/1/706569131.html
Василеостровский;Александра Грина бул.;1;;;Студия;30,5;16;3450000;Приморская;https://www.emls.ru/fullinfo/1/706569312.html
﻿Василеостровский;Железноводская ул.;30;;А;Студия;24,5;1;3450000;Приморская;https://www.emls.ru/fullinfo/1/1340510.html
Василеостровский;Александра Грина бул.;1;;;Студия;33;17;3465000;Приморская;https://www.emls.ru/fullinfo/1/706560682.html
Василеостровский;Вилькицкий бул.;6;1;;Студия;24,2;11;3470000;Приморская;https://www.emls.ru/fullinfo/1/1471361.html
Василеостровский;Александра Грина бул.;1;;;Студия;28;12;3490000;Приморская;https://www.emls.ru/fullinfo/1/1439757.html
Василеостровский;Вилькицкий бул.;6;;;Студия;25;12;3499000;Приморская;https://www.emls.ru/fullinfo/1/1465891.html
Василеостровский;Александра Грина бул.;2;1;;Студия;22;4;3500000;Приморская;https://www.emls.ru/fullinfo/1/706554081.html
Василеостровский;Александра Грина бул.;1;;;Студия;30,5;16;3510000;Приморская;https://www.emls.ru/fullinfo/1/706569132.html
Василеостровский;Головнина бул.;10;;;Студия;20,08;13;3525000;Приморская;https://www.emls.ru/fullinfo/1/1470609.html
Василеостровский;Головнина бул.;10;;;Студия;22,61;13;3535000;Приморская;https://www.emls.ru/fullinfo/1/706564632.html
Василеостровский;Александра Грина бул.;1;;;Студия;30,5;16;3549000;Приморская;https://www.emls.ru/fullinfo/1/706567546.html
﻿Василеостровский;Александра Грина бул.;1;;;Студия;28,4;11;3550000;Приморская;https://www.emls.ru/fullinfo/1/1469691.html
Василеостровский;Уральская ул.;16;;;Студия;25,36;2;3605000;Приморская;https://www.emls.ru/fullinfo/1/706568589.html
Василеостровский;Александра Грина бул.;1;;;Студия;28,5;11;3618000;Приморская;https://www.emls.ru/fullinfo/1/706568957.html
Василеостровский;Александра Грина бул.;1;;;Студия;30,5;16;3650000;Приморская;https://www.emls.ru/fullinfo/1/1469661.html
Василеостровский;Вилькицкий бул.;6;;;Студия;28;11;3690000;Приморская;https://www.emls.ru/fullinfo/1/706557954.html
Василеостровский;Александра Грина бул.;1;;;Студия;22,1;8;3690000;Приморская;https://www.emls.ru/fullinfo/1/1470618.html
Василеостровский;Александра Грина бул.;1;;;Студия;28,5;16;3720000;Приморская;https://www.emls.ru/fullinfo/1/706568947.html
Василеостровский;Александра Грина бул.;1;;;Студия;22,1;8;3730000;Приморская;https://www.emls.ru/fullinfo/1/706564633.html
Василеостровский;Вилькицкий бул.;6;;;Студия;28,5;11;3761000;Приморская;https://www.emls.ru/fullinfo/1/706542422.html
Василеостровский;Александра Грина бул.;1;1;;Студия;31;16;4200000;Приморская;https://www.emls.ru/fullinfo/1/706532259.html
﻿Василеостровский;Вадима Шефнера ул.;10;1;;Студия;30;12;4250000;Приморская;https://www.emls.ru/fullinfo/1/1116508.html
Василеостровский;Александра Грина бул.;2;1;;Студия;26;12;4250000;Приморская;https://www.emls.ru/fullinfo/1/1465410.html
Василеостровский;Александра Грина бул.;1;;;Студия;30;19;4291000;Приморская;https://www.emls.ru/fullinfo/1/706565411.html
Василеостровский;Вадима Шефнера ул.;10;;;Студия;30;6;4300000;Приморская;https://www.emls.ru/fullinfo/1/1465508.html
Василеостровский;Вадима Шефнера ул.;14;1;;Студия;30;15;4300000;Приморская;https://www.emls.ru/fullinfo/1/1452041.html
Василеостровский;Шкиперский проток;20;;В;Студия;28,1;3;4300000;Приморская;https://www.emls.ru/fullinfo/1/1313451.html
Василеостровский;26-я линия В.О.;7;;;Студия;24;2;4390000;Василеостровская;https://www.emls.ru/fullinfo/1/1465063.html
Василеостровский;26-я линия В.О.;7;;;Студия;26,15;3;4440000;Василеостровская;https://www.emls.ru/fullinfo/1/706570664.html
Василеостровский;26-я линия В.О.;7;;;Студия;25,71;5;4570000;Василеостровская;https://www.emls.ru/fullinfo/1/1462612.html
Василеостровский;26-я линия В.О.;7;;;Студия;28,31;5;4576000;Василеостровская;https://www.emls.ru/fullinfo/4/706821467.html
﻿Василеостровский;26-я линия В.О.;7;;;Студия;27,07;6;4580000;Василеостровская;https://www.emls.ru/fullinfo/4/329290.html
Василеостровский;26-я линия В.О.;7;;;Студия;25,4;8;4630000;Василеостровская;https://www.emls.ru/fullinfo/1/706567709.html
Василеостровский;26-я линия В.О.;7;;;Студия;24,12;8;4630000;Василеостровская;https://www.emls.ru/fullinfo/1/1457394.html
Василеостровский;26-я линия В.О.;7;1;;Студия;25,4;8;4640000;Василеостровская;https://www.emls.ru/fullinfo/1/706562296.html
Василеостровский;26-я линия В.О.;7;;;Студия;23,5;2;4699000;Василеостровская;https://www.emls.ru/fullinfo/1/706570653.html
Василеостровский;25-я линия В.О.;8;;;Студия;25,4;9;4700000;Василеостровская;https://www.emls.ru/fullinfo/1/706563519.html
Василеостровский;26-я линия В.О.;7;;;Студия;25,4;9;4750000;Василеостровская;https://www.emls.ru/fullinfo/1/706570685.html
Василеостровский;26-я линия В.О.;7;;;Студия;27,07;2;4800000;Василеостровская;https://www.emls.ru/fullinfo/1/1469876.html
Василеостровский;26-я линия В.О.;7;;;Студия;27,07;4;4800000;Василеостровская;https://www.emls.ru/fullinfo/1/1467293.html
Василеостровский;26-я линия В.О.;7;;;Студия;27;4;4800000;Василеостровская;https://www.emls.ru/fullinfo/1/1468813.html
﻿Василеостровский;26-я линия В.О.;7;;;Студия;24,12;8;4840000;Василеостровская;https://www.emls.ru/fullinfo/1/1457855.html
Василеостровский;26-я линия В.О.;7;;;Студия;28,67;7;4850000;Василеостровская;https://www.emls.ru/fullinfo/1/1470549.html
Василеостровский;26-я линия В.О.;7;;;Студия;24,12;9;4890000;Василеостровская;https://www.emls.ru/fullinfo/1/706564839.html
Василеостровский;26-я линия В.О.;7;;;Студия;29;4;4900000;Василеостровская;https://www.emls.ru/fullinfo/1/1459211.html
Василеостровский;25-я линия В.О.;8;;;Студия;28,7;6;4900000;Василеостровская;https://www.emls.ru/fullinfo/1/1444318.html
Василеостровский;26-я линия В.О.;7;;;Студия;28;7;4900000;Василеостровская;https://www.emls.ru/fullinfo/1/1457448.html
Василеостровский;26-я линия В.О.;7;;;Студия;24,12;8;4930000;Василеостровская;https://www.emls.ru/fullinfo/1/1457858.html
Василеостровский;26-я линия В.О.;7;;;Студия;24,59;9;4990000;Василеостровская;https://www.emls.ru/fullinfo/1/1463882.html
Василеостровский;26-я линия В.О.;7;;;Студия;27,07;5;5000000;Василеостровская;https://www.emls.ru/fullinfo/1/1457861.html
Василеостровский;26-я линия В.О.;7;;;Студия;27,07;4;5090000;Василеостровская;https://www.emls.ru/fullinfo/1/706564836.html
﻿Василеостровский;26-я линия В.О.;7;;;Студия;24,8;10;5099000;Василеостровская;https://www.emls.ru/fullinfo/1/706570675.html
Василеостровский;26-я линия В.О.;7;;;Студия;32,26;5;5100000;Василеостровская;https://www.emls.ru/fullinfo/1/1470732.html
Василеостровский;26-я линия В.О.;7;;;Студия;33;3;5180000;Василеостровская;https://www.emls.ru/fullinfo/1/1461557.html
Василеостровский;26-я линия В.О.;7;;;Студия;24;5;5200000;Василеостровская;https://www.emls.ru/fullinfo/1/1466069.html
Василеостровский;26-я линия В.О.;7;;;Студия;27,07;6;5210000;Василеостровская;https://www.emls.ru/fullinfo/1/1457864.html
Василеостровский;26-я линия В.О.;7;;;Студия;30,7;5;5290000;Василеостровская;https://www.emls.ru/fullinfo/1/1467302.html
Василеостровский;Макарова наб.;60;;;Студия;31,3;7;5400000;Приморская;https://www.emls.ru/fullinfo/1/1424732.html
Василеостровский;26-я линия В.О.;7;;;Студия;28,67;9;5450000;Василеостровская;https://www.emls.ru/fullinfo/1/706568415.html
Василеостровский;Макарова наб.;60;;;Студия;30,8;7;5500000;Приморская;https://www.emls.ru/fullinfo/1/1413321.html
Василеостровский;Малый пр.;52;;;Студия;23,19;6;5533000;Василеостровская;https://www.emls.ru/fullinfo/1/706561868.html
﻿Василеостровский;26-я линия В.О.;7;;;Студия;28,6;10;5590000;Василеостровская;https://www.emls.ru/fullinfo/1/1466682.html
Василеостровский;Уральская ул.;6;;;Студия;31,4;8;5600000;Василеостровская;https://www.emls.ru/fullinfo/1/1449277.html
Василеостровский;26-я линия В.О.;7;;;Студия;24,8;10;5710000;Василеостровская;https://www.emls.ru/fullinfo/1/706564835.html
Василеостровский;Наличная ул.;26;6;;Студия;25;7;5799000;Василеостровская;https://www.emls.ru/fullinfo/1/706561133.html
Василеостровский;Макарова наб.;60;;;Студия;31;6;5800000;Приморская;https://www.emls.ru/fullinfo/1/1466655.html
Василеостровский;Малый пр.;52;;;Студия;23,19;6;5815000;Василеостровская;https://www.emls.ru/fullinfo/1/706567715.html
Василеостровский;Макарова наб.;60;;;Студия;31;4;5850000;Приморская;https://www.emls.ru/fullinfo/1/1463681.html
Василеостровский;Макарова наб.;60;;;Студия;31,5;6;6100000;Приморская;https://www.emls.ru/fullinfo/1/1450279.html
Василеостровский;Макарова наб.;60;;;Студия;30;5;6300000;Приморская;https://www.emls.ru/fullinfo/1/1450750.html
Василеостровский;Макарова наб.;60;;;Студия;30;5;6500000;Приморская;https://www.emls.ru/fullinfo/1/1450757.html
﻿Василеостровский;Макарова наб.;60;;;Студия;29,6;6;6599000;Приморская;https://www.emls.ru/fullinfo/4/333405.html
Василеостровский;Макарова наб.;60;1;;Студия;29,6;6;6599000;Приморская;https://www.emls.ru/fullinfo/1/1463284.html
Василеостровский;КИМа пр.;19;;Д;Студия;29,6;6;6599000;Приморская;https://www.emls.ru/fullinfo/1/1463272.html
Василеостровский;Макарова наб.;60;;;Студия;30,6;11;7347000;Приморская;https://www.emls.ru/fullinfo/1/1469401.html
Василеостровский;24-я линия В.О.;29;;;Студия;63,8;3;7390000;Василеостровская;https://www.emls.ru/fullinfo/1/1064202.html
Василеостровский;24-я линия В.О.;29;;;Студия;63,8;3;7392000;Василеостровская;https://www.emls.ru/fullinfo/1/1234199.html
Василеостровский;7-я линия В.О.;28;;;Студия;74;4;10048000;Василеостровская;https://www.emls.ru/fullinfo/1/706567449.html
